site	reviewer	Name of Site	dopsat amplitude	diel signal (y/n)	accept/reject/examine	Reasoning (ocean / estuary / spring / dam / other)	NOTES
nwis_10133980 	Emily B	EAST CANYON CREEK AB EAST CYN RES NR MORGAN, UTAH	60	yes	accept		
nwis_11044000 	Emily B	SANTA MARGARITA R NR TEMECULA CA	45	yes	accept		
nwis_11273400 	Emily B	SAN JOAQUIN R AB MERCED R NR NEWMAN CA	190	yes	accept		
nwis_11462500 	Emily B	RUSSIAN R NR HOPLAND CA	50	y	accept		
nwis_11463980 	Emily B	RUSSIAN R A DIGGER BEND NR HEALDSBURG CA	60	y	accept		
nwis_11467000 	Emily B	RUSSIAN R NR GUERNEVILLE CA	40	y	accept		
nwis_12100490 	Emily B	WHITE RIVER AT R STREET NEAR AUBURN, WA	15	y	accept		
nwis_13013650 	Emily B	SNAKE RIVER AT MOOSE, WY	25	y	accept		
nwis_13173600 	Emily B	SNAKE RIVER NR ADRIAN OR	80	y	accept		only 1 year of data
nwis_13206400 	Emily B	EAGLE DRAIN AT EAGLE, ID	90	y	accept		only 1 year of data
nwis_13213000 	Emily B	BOISE RIVER NR PARMA ID	60		accept		~ 2 years of data with 2 year gap in between - looks like change in flows in between
nwis_13213100 	Emily B	SNAKE RIVER AT NYSSA OR	60	y	accept		only 1 year of data
nwis_14151000 	Emily B	INDIAN C AT 119TH ST, OVERLAND PARK, KS	190	y 	accept		
nwis_14206950 	Emily B	FANNO CREEK AT DURHAM, OR	40	y	accept		
nwis_14210000 	Emily B	CLACKAMAS RIVER AT ESTACADA, OR	5	y	accept		lots of periods without a diel signal
nwis_14211010 	Emily B	CLACKAMAS RIVER NEAR OREGON CITY, OR	15	y	accept		
nwis_14301500 	Natalie	WILSON RIVER NEAR TILLAMOOK, OR	45	Y	accept		
nwis_14302480 	Natalie	TRASK RIVER ABOVE CEDAR CREEK, NEAR TILLAMOOK, OR	25	Y	accept		
nwis_385446094430700 	Natalie	INDIAN C AT 119TH ST, OVERLAND PARK, KS	80	Y	accept		
nwis_385520094420000 	Natalie	INDIAN C AT COLLEGE BLVD, JOHNSON CO, KS	80	Y	accept		
nwis_385608094380300 	Natalie	INDIAN C AT INDIAN C PKWY, OVERLAND PARK, KS	90	Y	accept		
nwis_01408500 	Jim	Toms River near Toms River NJ	10	Y	examine	odd structure to discharge, weird gaps in metab	
nwis_01473900 	Jim	Wissahickon Creek at Fort Washington, PA	80	y	examine		large diel fluctuations in flow under baseflow , but 140 ft ASL, so not tidal.
nwis_01474500 	Jim	Schuylkill River at Philadelphia, PA	100	y	examine		several periods when DO minima are >100%.  Diel structure is odd during those periods.
nwis_01484525 	Jim	MILLSBORO POND OUTLET AT MILLSBORO, DE			examine	lake outlet	
nwis_01567000 	Jim	Juniata River at Newport, PA	20		examine		very short and bad looking record
nwis_02110500 	Emily B	Waccamaw River near Longs, SC	80	yes	examine	other	this stream is usually wonky except at very low flows - think we're seeing some tidal influence
nwis_02148315 	Emily B	WATEREE R. BL EASTOVER, SC		no	examine	other	hydrograph is very odd, NWIS info shows site in a wetland - site deactivated
nwis_02171645 	Emily B	REDIV CANAL AT SANTEE RIVER NR ST STEPHEN, SC	10	yes	examine	other	this is a diversion canal with crazy within day variations in flow - decent data for some periods
nwis_02266200 	Emily B	WHITTENHORSE CREEK NEAR VINELAND, FL	10	yes	examine	other	strange hydrograph
nwis_02344630 	Emily B	LINE CREEK BLW LAKE MCINTOSH, NR PEACHTREE CITY,GA			examine	dam	not clear if this is an inlet or outlet
nwis_03075070 	Ted	Monongahela River at Elizabeth, PA	30	y	examine	flow regulation?	
nwis_03081000 	Ted	Youghiogeny River below Confluence, PA	20	y	examine	flow regulation?	
nwis_03083500 	Ted	Youghiogeny River at Sutersville, PA	25	y	examine	flow regulation?	
